教学班,培养类型,课程代码,课程名称,课程性质,课程类别,授课语言,学分,学时,教师,上课信息,选课要求,面向对象,限制对象,本科生容量/已选,研究生容量/已选,开课院系
现代材料科学与技术前沿讲座-01班-双语,本,MSE347,现代材料科学与技术前沿讲座 Seminars on Frontiers of Modern Materials Science and Technology,选修,专业选修课,双语,1.0,16.0,韩晓东 王芳,"上课信息:
1-15单周,星期一第7-8节 一教108
1,5-11单,14,15周,星期一第7-8节 一教108
2周,星期六第3-4节 一教108",,,,30 / 22,30 / 3,材料科学与工程系
光电信息材料与器件综合实验II-01班-英文,本,MSE357,光电信息材料与器件综合实验II Comprehensive Experiments of Electronic and Photonic Materials and Devices II,必修,专业核心课,英文,4.0,128.0,章剑波 王海鸣 李艳艳 李慧丽,"上课信息:
1-15周,星期三第1-8节 慧园2栋407A实验室",,,,15 / 9,0 / 0,材料科学与工程系
材料学导论-01班-双语,本,MSE460,材料学导论 Orientation Program of Dept. of Materials Science and Engineering,选修,专业导论类,双语,1.0,24.0,王海鸣 章剑波 李艳艳 李慧丽 李贵新 汪宏程鑫 李江宇,"上课信息:
1,3,4,6,7,9,10,12周,星期二第3-4节 慧园2栋407A实验室
1,2,5,8,11周,星期二第3-4节 一教422",,,,30 / 19,0 / 0,材料科学与工程系
科技创新项目-01班-双语-后置名单,本,MSE480,科技创新项目 Projects of Science and Technology Innovation,任选,专业选修课,双语,2.0,64.0,田颜清 王芳,,,,,30 / 0,0 / 0,材料科学与工程系
毕业论文(设计)-01班-双语-后置名单,本,MSE492,毕业论文(设计) Thesis (Graduation Project),必修,实践,双语,12.0,384.0,郭旭岗 王芳,,,,,50 / 0,0 / 0,材料科学与工程系
高等材料化学-01班-英文,研,MSE5002,高等材料化学 Advanced Materials Chemistry,选修,专业核心课,英文,3.0,48.0,田颜清,"1-15周,星期三第1-2节 一教110 2-14双周,星期二第9-10节 一教110",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,102 / 101,材料科学与工程系
材料力学行为-01班-英文,研,MSE5003,材料力学行为 Mechanical Behaviours of Materials,选修,专业核心课,英文,3.0,48.0,李磊,"1-8,10-15周,星期一第5-6节 一教506 2-10双,13-14周,星期三第5-6节 一教506 9周,星期三第5-6节 一教506",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,87 / 38,材料科学与工程系
有机与生物材料-01班-英文,研,MSE5010,有机与生物材料 Organic and Biological Materials,选修,专业核心课,英文,3.0,48.0,WANG HSINGLIN(王湘麟),"1-15单周,星期二第5-6节 一教323 1-15周,星期五第7-8节 一教323",,,年级:2025;学院:深圳理工大学;层次:硕士;,5 / 0,60 / 23,材料科学与工程系
模拟电路-01班-英文,本,BMEB219,模拟电路 Analog Circuits,选修,专业选修课,英文,3.0,48.0,赵聪,"1-15周,星期五第1-2节 一教306 2-14双周,星期三第9-10节 一教306",,,,60 / 46,0 / 0,生物医学工程系
信号和系统-01班-英文,本,BMEB220,信号和系统 Signals and Systems,必修,专业基础课,英文,3.0,64.0,赵聪,"1-15周,星期二第5-6节 智华楼103 1-15周,星期二第7-8节 智华楼511机房",,,,50 / 34,0 / 0,生物医学工程系
