教学班,培养类型,课程代码,课程名称,课程性质,课程类别,授课语言,学分,学时,教师,上课信息,选课要求,面向对象,限制对象,本科生容量/已选,研究生容量/已选,开课院系
自然辩证法概论-04班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"2-14双周,星期二第7-8节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,50 / 50,马克思主义学院
自然辩证法概论-05班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"1-15单周,星期三第7-8节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,49 / 49,马克思主义学院
自然辩证法概论-06班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"2-14双周,星期三第7-8节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,46 / 46,马克思主义学院
自然辩证法概论-07班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"1-15单周,星期四第3-4节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,47 / 46,马克思主义学院
自然辩证法概论-08班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"2-14双周,星期四第3-4节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,45 / 45,马克思主义学院
自然辩证法概论-09班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"1-15单周,星期五第3-4节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,45 / 42,马克思主义学院
自然辩证法概论-10班-中文,研,GGC5017,自然辩证法概论 Introduction of Dialectics of Nature,必修,通识必修课,中文,1.0,16.0,袁海军,"上课信息：2-14双周,星期五第3-4节 一教525",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,46 / 45,马克思主义学院
新时代中国特色社会主义理论与实践-01班-中文,研,GGC5019,新时代中国特色社会主义理论与实践 Theory and Practice of Socialism with Chinese Characteristics in a New Era,,通识必修课,中文,2.0,32.0,吴清一,"上课信息：1-15周,星期三第3-4节 商学院209",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,45 / 42,马克思主义学院
新时代中国特色社会主义理论与实践-02班-中文,研,GGC5019,新时代中国特色社会主义理论与实践 Theory and Practice of Socialism with Chinese Characteristics in a New Era,,通识必修课,中文,2.0,32.0,吴清一,"上课信息：1-15周,星期三第7-8节 商学院209",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,45 / 41,马克思主义学院
新时代中国特色社会主义理论与实践-03班-中文,研,GGC5019,新时代中国特色社会主义理论与实践 Theory and Practice of Socialism with Chinese Characteristics in a New Era,,通识必修课,中文,2.0,32.0,吴清一,"上课信息：1-15周,星期三第9-10节 商学院209",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,45 / 40,马克思主义学院
新时代中国特色社会主义理论与实践-08班-中文,研,GGC5019,新时代中国特色社会主义理论与实践,必修,通识必修课,中文,2.0,32.0,高玉林,"1-15周,星期一第1-2节 智华楼310",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 32,马克思主义学院
新时代中国特色社会主义理论与实践-09班-中文,研,GGC5019,新时代中国特色社会主义理论与实践,必修,通识必修课,中文,2.0,32.0,高玉林,"1-15周,星期一第3-4节 智华楼310",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 40,马克思主义学院
新时代中国特色社会主义理论与实践-10班-中文,研,GGC5019,新时代中国特色社会主义理论与实践,必修,通识必修课,中文,2.0,32.0,高玉林,"1-15周,星期一第5-6节 智华楼310",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,40 / 40,马克思主义学院
中国马克思主义与当代-02班-中文,研,GGC5021,中国马克思主义与当代,必修,通识必修课,中文,2.0,32.0,王德军,"1-15周,星期一第7-8节 商学院101",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,65 / 65,马克思主义学院
中国马克思主义与当代-03班-中文,研,GGC5021,中国马克思主义与当代,必修,通识必修课,中文,2.0,32.0,王德军,"1-15周,星期二第1-2节 商学院103",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,65 / 49,马克思主义学院
中国马克思主义与当代-04班-中文,研,GGC5021,中国马克思主义与当代,必修,通识必修课,中文,2.0,32.0,王德军,"1-15周,星期二第7-8节 商学院104",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,65 / 65,马克思主义学院
中国马克思主义与当代-05班-中文,研,GGC5021,中国马克思主义与当代,必修,通识必修课,中文,2.0,32.0,王德军,"1-15周,星期三第1-2节 商学院104",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,65 / 47,马克思主义学院
中国马克思主义与当代-06班-中文,研,GGC5021,中国马克思主义与当代,必修,通识必修课,中文,2.0,32.0,王德军,"1-15周,星期三第7-8节 商学院104",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,65 / 65,马克思主义学院
研究生综合培训-01班-英文,研,GGC5031,研究生综合培训 Postgraduate Entrance Comprehensive Research Training,必修,通识必修课,英文,2.0,32.0,吴德成 唐建波 唐斌 李依明 姚明曦 CHAO LIU 郭琼玉 张明明 李喆 刘景影 张路 LI KAI 罗智 蒋兴宇 綦磊,"1-15周,星期二第7-8节 哲华楼103",,学院:生物医学工程系;,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,80 / 41,生物医学工程系
学术写作与交流-01班-中文,研,GGC5039,学术写作与交流 Academic Writing and Presentation on,必修,通识必修课,中文,2.0,32.0,罗海澎,"1-15周,星期五第5-6节 哲华楼310",,学院:海洋科学与工程系;学院:环境科学与工程学院;学院:地球与空间科学系;学院:海洋科学与工程系;学院:环境科学与工程学院;,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,40 / 13,地球与空间科学系
专业英语写作与交流-01班-英文,研,GGC5041,专业英语写作与交流 Academic Writing and Communication in English,必修,通识必修课,英文,3.0,48.0,胡勇,"1-15周,星期二第7-8节 商学院208 1-15周,星期四第3-4节 商学院208",,学院:数学系;,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,50 / 23,数学系
英语科学写作-01班-英文,研,GGC5044,英语科学写作 Communicating Science in English,,通识选修课,英文,2.0,32.0,"王雪洋,展鹏,保圣伟(代),侯圣伟","1-6,8,10,12-15周,星期二第1-2节 一教422 7周,星期二第1-2节 一教422 9周,星期二第1-2节 一教422 11周,星期二第1-2节 一教422",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,45 / 40,海洋科学与工程系
高级学术写作与交流-03班-英文,研,GGC5047,高级学术写作与交流,通识必修课,通识必修课,英文,2.0,32.0,徐嗣群,"1-15周,星期二第3-4节 一教511",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0/0,23/23,语言中心
高级学术写作与交流-04班-英文,研,GGC5047,高级学术写作与交流,通识必修课,通识必修课,英文,2.0,32.0,徐嗣群,"1-15周,星期二第5-6节 一教511",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0/0,24/24,语言中心
高级学术写作与交流-05班-英文,研,GGC5047,高级学术写作与交流,通识必修课,通识必修课,英文,2.0,32.0,徐嗣群,"1-15周,星期二第7-8节 一教511",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0/0,20/20,语言中心
高级学术写作与交流-06班-英文,研,GGC5047,高级学术写作与交流,通识必修课,通识必修课,英文,2.0,32.0,徐嗣群,"1-15周,星期五第3-4节 一教510",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0/0,25/25,语言中心
高级学术写作与交流-07班-英文,研,GGC5047,高级学术写作与交流,通识必修课,通识必修课,英文,2.0,32.0,徐嗣群,"1-15周,星期五第5-6节 一教510",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0/0,20/19,语言中心
高级学术写作与交流-11班.英文,研,GGC5047,Advanced Academic Writing and Communication,,通识必修课,英文,2.0,32.0,任莉,"1-15周,星期三第1-2节 一教510",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,20 / 15,语言中心
高级学术写作与交流-12班.英文,研,GGC5047,Advanced Academic Writing and Communication,,通识必修课,英文,2.0,32.0,任莉,"1-15周,星期三第3-4节 一教510",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,20 / 20,语言中心
高级学术写作与交流-13班.英文,研,GGC5047,Advanced Academic Writing and Communication,,通识必修课,英文,2.0,32.0,任莉,"1-15周,星期三第5-6节 一教510",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,25 / 25,语言中心
高级学术写作与交流-14班.英文,研,GGC5047,Advanced Academic Writing and Communication,,通识必修课,英文,2.0,32.0,任莉,"1-15周,星期四第1-2节 一教510",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,20 / 19,语言中心
高级学术写作与交流-15班.英文,研,GGC5047,Advanced Academic Writing and Communication,,通识必修课,英文,2.0,32.0,任莉,"1-15周,星期四第3-4节 一教510",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,20 / 20,语言中心
高级学术写作与交流-29班-英文,研,GGC5047,高级学术写作与交流,,通识必修课,英文,2.0,32.0,刘丽莎,"1-15周,星期三第3-4节 一教511",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,21/19,语言中心
高级学术写作与交流-30班-英文,研,GGC5047,高级学术写作与交流,,通识必修课,英文,2.0,32.0,刘丽莎,"1-15周,星期四第1-2节 一教511",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,20/19,语言中心
高级学术写作与交流-31班-英文,研,GGC5047,高级学术写作与交流,,通识必修课,英文,2.0,32.0,ADRIAN MURRAY ROWLAND,"1-15周,星期一第7-8节 一教508",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,20/18,语言中心
高级学术写作与交流-32班-英文,研,GGC5047,高级学术写作与交流,,通识必修课,英文,2.0,32.0,ADRIAN MURRAY ROWLAND,"1-15周,星期四第3-4节 一教508",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,20/16,语言中心
科学写作&交流-01班-英文,研,GGC5048,科学写作&交流,必修,通识必修课,英文,2.0,32.0,HAILIANG HU,"1-15周,星期二第9-10节 智华楼307",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,36/30,医学院
Writing for Publication-06班-英文-1、此课程仅面向在我校获得硕士学位的普通生，先修课为GGC5046《南科大研究生英语》或GGC5015《English For Graduate Studies》。2、此课程不属于学术学位研究生必修的论文写作指导类课程。,研,GGC5056,Writing for Publication,必修,通识必修课,英文,2.0,32.0,ADRIAN MURRAY ROWLAND,"1-15周,星期三第7-8节 一教508",选课要求:1、此课程仅面向在我校获得硕士学位的普通生，先修课为GGC5046《南科大研究生英语》或GGC5015《English For Graduate Studies》。2、此课程不属于学术学位研究生必修的论文写作指导类课程。,层次:博士;层次:博士;,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,17/13,语言中心
工程伦理与实践-01班-中文,研,GGC5066,工程伦理与实践,必修,通识必修课,中文,1.0,16.0,,"1-15周,星期四第3-4节 一教123",,,年级:2025;学院:深圳理工大学;层次:硕士;,0/0,51/47,深港微电子学院
Advanced Biological Sciences-生科院教学班1班-英文,研,BIO5001,Advanced Biological Sciences,必修,专业基础课,英文,3.0,48.0,蔡舒君 杜嘉木 邓保,"1-4周,星期一第5-6节 一教124 1-3周,星期三第5-6节 一教124 5周,星期一第5-6节 一教124 5周,星期三第5-6节 一教124 6-10周,星期一第5-6节 一教124 7-9周,星期三第5-6节 一教124 11-15周,星期一第5-6节 一教124 11,13周,星期三第5-6节 一教124 14周,星期三第5-6节 一教125",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,25 / 5,生物系
Advanced Biological Sciences-生科院教学班2班-英文,研,BIO5001,Advanced Biological Sciences,必修,专业基础课,英文,3.0,48.0,王玲 黄鸿达 王若希,"1-5周,星期二第5-6节 一教124 2,4周,星期三第5-6节 一教124 6周,星期二第5-6节 一教124 6周,星期三第5-6节 一教124 7-10周,星期二第5-6节 一教124 8,10周,星期三第5-6节 一教124 11-15周,星期二第5-6节 一教124 13周,星期三第5-6节 一教125 14周,星期三第5-6节 一教124",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,25 / 14,生物系
学术英语写作-01班-英文,研,GGC5071,学术英语写作 Academic Writing in English,必修,通识必修课,英文,2.0,32.0,董璐,"1-15周,星期五第3-4节 智华楼212",,"学院:商学院,","年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,30 / 15,商学院
先进工程学导论-01班-中文,研,GGC7001,先进工程学导论 Introduction to Advanced Engineering,必修,通识必修课,中文,1.0,16.0,汪宏 方红卫 陈明伟 程鑫,"2-14双周,星期三第9-10节 一科报告厅",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,200 / 115,半导体学院（国家卓越工程师学院）
教育社会学导论-01班-双语,本,HEC015,教育社会学导论 Introduction to Sociology of Education,选修,社科类,双语,2.0,32.0,刘绪,"1-15周,星期一第9-10节 一教423",,,,50 / 58,5 / 5,高等教育研究中心
跨文化教育-01班-双语,本,HEC024,跨文化教育 Intercultural Education,选修,社科类,双语,2.0,32.0,YUAN GAO (高媛),"1-15周,星期一第5-6节 一教304",,,,30 / 28,0 / 0,高等教育研究中心
教育心理学导论-01班-双语,本,HEC026,教育心理学导论 Introduction to Educational Psychology,选修,社科类,双语,2.0,32.0,赵建华,"1-8,11-15周,星期三第5-6节 智华楼112<br>9周,星期三第5-6节 校外活动场所<br>10周,星期三第5-6节 校外活动场所",,,,25 / 27,25 / 12,高等教育研究中心
科学与文明史概论-01班-中文,本,HUM029,"科学与文明史概论
An Introduction on History of Science and Civilization",选修,人文类,中文,2.0,32.0,田松,"上课信息: 1-15周,星期二第3-4节 商学院101",,,,60 / 55,5 / 3,人文科学中心
写作与交流-01班-中文,本,HUM032,"写作与交流
Writing and Communication Skills",必修,通识必修课,中文,2.0,32.0,杨果,"上课信息: 1-15周,星期一第3-4节 智华楼401",,,,33 / 29,0 / 0,人文科学中心
写作与交流-02班-中文,本,HUM032,"写作与交流
Writing and Communication Skills",必修,通识必修课,中文,2.0,32.0,杨果,"上课信息: 1-15周,星期一第5-6节 智华楼401",,,,33 / 22,0 / 0,人文科学中心
写作与交流-03班-中文,本,HUM032,"写作与交流
Writing and Communication Skills",必修,通识必修课,中文,2.0,32.0,杨果,"上课信息: 1-15周,星期二第5-6节 智华楼401",,,,33 / 26,0 / 0,人文科学中心
写作与交流-04班-中文,本,HUM032,"写作与交流
Writing and Communication Skills",必修,通识必修课,中文,2.0,32.0,杨果,"上课信息: 1-15周,星期三第5-6节 智华楼401",,,,33 / 20,0 / 0,人文科学中心
写作与交流-05班-中文,本,HUM032,写作与交流,必修,通识必修课,中文,2.0,32.0,杨莉,"1-15周,星期二第3-4节 智华楼401",,,,33/27,0/0,人文科学中心
写作与交流-06班-中文,本,HUM032,写作与交流,必修,通识必修课,中文,2.0,32.0,杨莉,"1-15周,星期三第3-4节 智华楼401",,,,33/33,0/0,人文科学中心
写作与交流-07班-中文,本,HUM032,写作与交流,必修,通识必修课,中文,2.0,32.0,杨莉,"1-15周,星期三第7-8节 智华楼401",,,,33/30,0/0,人文科学中心
写作与交流-08班-中文,本,HUM032,写作与交流,必修,通识必修课,中文,2.0,32.0,杨莉,"1-15周,星期四第3-4节 智华楼401",,,,33/21,0/0,人文科学中心
写作与交流-09班-中文,本,HUM032,写作与交流,必修,通识必修课,中文,2.0,32.0,陈劲松,"1-15周,星期一第5-6节 智华楼402",,,,33/11,0/0,人文科学中心
写作与交流-10班-中文,本,HUM032,写作与交流,必修,通识必修课,中文,2.0,32.0,陈劲松,"1-15周,星期二第3-4节 智华楼402",,,,33/12,0/0,人文科学中心
写作与交流-12班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,陈劲松,"陈劲松 上课信息: 1-15周,星期三第5-6节 智华楼402",,,,33 / 7,0 / 0,人文科学中心
写作与交流-13班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,周秀梅,"周秀梅 上课信息: 1-15周,星期三第3-4节 智华楼404",,,,33 / 32,0 / 0,人文科学中心
写作与交流-14班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,周秀梅,"周秀梅 上课信息: 1-15周,星期三第7-8节 智华楼404",,,,33 / 33,0 / 0,人文科学中心
写作与交流-15班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,周秀梅,"周秀梅 上课信息: 1-15周,星期四第3-4节 智华楼404",,,,33 / 33,0 / 0,人文科学中心
写作与交流-16班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,周秀梅,"周秀梅 上课信息: 1-15周,星期五第3-4节 智华楼404",,,,33 / 32,0 / 0,人文科学中心
写作与交流-17班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,袁娜,"袁娜 上课信息: 1-15周,星期一第7-8节 智华楼401",,,,33 / 27,0 / 0,人文科学中心
写作与交流-18班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,袁博,"上课信息：1-15周,星期一第9-10节 智华楼401",,,,33/24,0/0,人文科学中心
写作与交流-19班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,袁博,"上课信息：1-15周,星期二第9-10节 智华楼401",,,,33/25,0/0,人文科学中心
写作与交流-20班-中文,本,HUM032,写作与交流 Writing and Communication Skills,必修,通识必修课,中文,2.0,32.0,袁博,"上课信息：1-15周,星期三第9-10节 智华楼401",,,,33/18,0/0,人文科学中心
阿拉伯世界的1500年-01班-中文,本,HUM045,阿拉伯世界的1500年 An Introduction to the Arab World,选修,人文类,中文,2.0,32.0,钱艾琳,"上课信息：1-15周,星期三第5-6节 一教427",,,,80/94,0/0,人文科学中心
语音学-01班-中文,本,HUM046,语音学 Phonetics,选修,人文类,中文,2.0,32.0,孙顺,"上课信息：1-15周,星期五第5-6节 智华楼207",,,,140/145,10/9,人文科学中心
中国哲学导论-01班-中文,本,HUM053,中国哲学导论 An Introduction to Chinese Philosophy,选修,人文类,中文,2.0,32.0,张大伟,"上课信息：1-15周,星期一第7-8节 智华楼210",,,,60/64,0/0,人文科学中心
机器社会与生态文明-01班-中文,本,HUM071,Machine Society and Ecological Civilization,选修,人文类,中文,2.0,32.0,袁海军,"1-15周,星期四第9-10节 智华楼103",,,,50 / 74,6 / 6,人文科学中心
中国文学经典导读-01班-中文,本,HUM076,An Introduction to the Classics of Chinese Literature,选修,人文类,中文,2.0,32.0,杨果,"1-15周,星期三第3-4节 智华楼210",,,,70 / 84,0 / 0,人文科学中心
中华经典导读-01班-中文,本,HUM079,An Introduction to Chinese Classics,选修,人文类,中文,2.0,32.0,孙顺,"1-15周,星期五第3-4节 一科报告厅",,,,200 / 227,0 / 0,人文科学中心
古典小说选讲-01班-中文,本,HUM081,Selected Readings of Classic Chinese Novel,选修,人文类,中文,2.0,32.0,高斌,"1-15周,星期一第7-8节 智华楼203",,,,55 / 25,5 / 5,人文科学中心
古典小说选讲-02班-中文,本,HUM081,Selected Readings of Classic Chinese Novel,选修,人文类,中文,2.0,32.0,高斌,"1-15周,星期一第9-10节 智华楼203",,,,55 / 41,5 / 4,人文科学中心
古典小说选讲-03班-中文,本,HUM081,古典小说选讲 Selected Readings of Classic Chinese Novel,选修,人文类,中文,2.0,32.0,高斌,"1-15周,星期二第7-8节 智华楼203",,,,55 / 42,5 / 5,人文科学中心
宋词鉴赏及英译批评-01班-中文,本,HUM082,宋词鉴赏及英译批评 The Appreciation of Classical Chinese Song Lyrics and English Translation Criticism,选修,人文类,中文,2.0,32.0,高斌,"1-15周,星期二第9-10节 智华楼203",,,,55 / 50,5 / 5,人文科学中心
宋词鉴赏及英译批评-02班-中文,本,HUM082,宋词鉴赏及英译批评 The Appreciation of Classical Chinese Song Lyrics and English Translation Criticism,选修,人文类,中文,2.0,32.0,高斌,"1-15周,星期三第7-8节 智华楼203",,,,55 / 22,5 / 5,人文科学中心
宋词鉴赏及英译批评-03班-中文,本,HUM082,宋词鉴赏及英译批评 The Appreciation of Classical Chinese Song Lyrics and English Translation Criticism,选修,人文类,中文,2.0,32.0,高斌,"1-15周,星期三第9-10节 智华楼203",,,,55 / 32,5 / 5,人文科学中心
智能交通与物流-01班-双语,本,IDE303,智能交通与物流 Intelligent Transportation Systems and Logistics,必修,专业必修课,双语,3.0,48.0,何超超,"1-15周,星期二第5-6节 商学院110
2-14双周,星期四第9-10节 商学院110",,,,20 / 6,10 / 8,商学院
随机运筹学-01班-双语,本,IDE304,随机运筹学 Stochastic Operations Research,必修,专业必修课,双语,3.0,48.0,刘翰林,"1-15周,星期一第3-4节 商学院109
1-15单周,星期三第3-4节 商学院109",,,,40 / 19,5 / 0,商学院
全球供应链管理-01班-双语,本,IDE305,全球供应链管理 Global Supply Chain Management,必修,专业必修课,双语,3.0,48.0,樊潇帅,"1-15周,星期二第7-8节 商学院110
1-15单周,星期四第5-6节 商学院110",,,,30 / 4,10 / 3,商学院
创业思维与实践-01班-中文,研,INO5013,创业思维与实践 START YOUR BUSINESS,选修,专业选修课,中文,2.0,32.0,陈孝羲,"1-15周,星期一第7-8节 智华楼104",,,年级:2025;学院:深圳理工大学;层次:硕士;,20 / 3,40 / 38,创新创业学院
专利与知识产权保护-01班-中文,研,INO5016,专利与知识产权保护 Patent Intellectual Property Protection,选修,专业选修课,中文,2.0,32.0,陈孝羲,"1-15周,星期一第9-10节 智华楼204",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,40 / 40,创新创业学院
创新创业大讲堂2-01班-中文,研,INO5018,创新创业大讲堂2,选修,专业选修课,中文,1.0,16.0,刘科,"1-15周,星期五第7-8节 会议中心圆形会议厅（4楼）",,年级:2025;学院:深圳理工大学;层次:硕士;,,10 / 5,150 / 128,创新创业学院
习近平新时代中国特色社会主义思想概论-01班-中文,本,IPE100,习近平新时代中国特色社会主义思想概论,必修,通识必修课,中文,2.0,32.0,高玉林,"1-15周,星期二第1-2节 商学院104",,年级:2022;年级:2023;年级:2024;年级:2025;,,81 / 81,0 / 0,马克思主义学院
习近平新时代中国特色社会主义思想概论-02班-中文,本,IPE100,习近平新时代中国特色社会主义思想概论,必修,通识必修课,中文,2.0,32.0,高玉林,"1-15周,星期二第3-4节 商学院104",,年级:2022;年级:2023;年级:2024;年级:2025;,,80 / 80,0 / 0,马克思主义学院
中国近现代史纲要-01班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,王春英,"王春英 上课信息: 1-15周,星期一第5-6节 商学院103",,,,80/83,0/0,马克思主义学院
中国近现代史纲要-02班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,王春英,"王春英 上课信息: 1-15周,星期一第7-8节 商学院103",,,,80/86,0/0,马克思主义学院
中国近现代史纲要-03班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,王春英,"王春英 上课信息: 1-15周,星期一第9-10节 智华楼206",,,,80/82,0/0,马克思主义学院
中国近现代史纲要-04班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,王春英,"王春英 上课信息: 1-15周,星期二第3-4节 商学院103",,,,80/80,0/0,马克思主义学院
Advanced Biological Sciences-医学院教学班1班-英文,研,BIO5001,Advanced Biological Sciences,必修,专业基础课,英文,3.0,48.0,贾宁 张志荣 田君,"1-8周,星期二第9-11节 智华楼213 9-11周,星期二第9-11节 智华楼213 12-15周,星期二第9-11节 智华楼213",,学院:医学院;,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,30 / 5,生物系
Advanced Biological Sciences-医学院教学班2班-英文,研,BIO5001,Advanced Biological Sciences,必修,专业基础课,英文,3.0,48.0,田君 贾宁 张志荣,"1-8周,星期三第9-11节 智华楼213 9-11周,星期三第9-11节 智华楼213 12-15周,星期三第9-11节 智华楼213",,学院:医学院;,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,30 / 6,生物系
表观遗传学-01班-英文,研,BIO5005,表观遗传学 Epigenetics,选修,专业选修课,英文,3.0,48.0,周稳,"1-15周,星期一第9-11节 一教124",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,25 / 6,生物系
蛋白质结构和功能-01班-英文,研,BIO5007,蛋白质结构和功能 Protein Structure and Function,选修,专业选修课,英文,3.0,64.0,魏志毅,"1-15周,星期五第5-6节 智华楼308 1-15周,星期五第7-8节 智华楼506机房",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,25 / 23,生物系
Introduction to Human Health and Disease,研,BIO5023,Introduction to Human Health and Disease,选修,专业选修课,中文,2.0,32.0,孙颖,"1-15周,星期一第3-4节 一教524",,,"年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,25 / 6,生物系
中国近现代史纲要-05班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,王春英,"王春英 上课信息: 1-15周,星期二第5-6节 商学院103",,,,80 / 81,0 / 0,马克思主义学院
中国近现代史纲要-06班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,王春英,"王春英 上课信息: 1-15周,星期二第7-8节 商学院103",,,,80 / 83,0 / 0,马克思主义学院
中国近现代史纲要-07班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,胡光霁,"胡光霁 上课信息: 1-15周,星期五第3-4节 商学院102",,,,80 / 82,0 / 0,马克思主义学院
中国近现代史纲要-08班-中文,本,IPE103,中国近现代史纲要 The Outline of Modern and Contemporary History of China,必修,通识必修课,中文,2.0,32.0,胡光霁,"胡光霁 上课信息: 1-15周,星期五第7-8节 商学院102",,,,80 / 77,0 / 0,马克思主义学院
形势与政策-01班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,马俊军,"1-15周,星期一第3-4节 商学院101",,,,90/88,0/0,马克思主义学院
形势与政策-02班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,马俊军,"1-15周,星期一第5-6节 商学院101",,,,90/88,0/0,马克思主义学院
形势与政策-03班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,马俊军,"1-15周,星期二第5-6节 一教1206研讨室",,,,30/29,0/0,马克思主义学院
形势与政策-04班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,马俊军,"1-15周,星期三第3-4节 商学院101",,,,90/88,0/0,马克思主义学院
形势与政策-05班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,马俊军,"1-15周,星期三第5-6节 商学院101",,,,90/84,0/0,马克思主义学院
形势与政策-06班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,马俊军,"1-15周,星期四第3-4节 商学院101",,,,90/89,0/0,马克思主义学院
形势与政策-07班-中文,本,IPE105,形势与政策 Situation and Policy,必修,通识必修课,中文,2.0,32.0,杨皓旭,"1-15周,星期二第7-8节 商学院101",,,,80/88,0/0,马克思主义学院
